produto;preco;desconto;preco_desconto
Cardigan PB Labyrinth;13400;50;6629
Bolsa Quiltie 67 pequena;15000;40;11340
Calca jeans reta;3411;15;2798
Sapatilha com estampa de cobra;4545;15;3732
Bolsa de ombro Sack;7727;25;5418
Camisa polo com detalhe jeans;1665;20;1319
Sapato slingback de couro;6650;50;3292
Vestido longo sem alcas;1286;15;1082
Jaqueta de couro destroyed;5080;30;3519
Cinto dupla face VLOGO de couro;6350;40;3810
Vestido com aplicacao de strass;15000;45;11478
Bota Mini Robin;6550;30;4536
Bolsa The Camo mini;2922;25;2134
Vestido longo com plissado;7655;30;5361
Sapatilha de couro;11114;10;10003
Casaco com abotoamento duplo;3551;25;2635
Blazer de couro com abotoamento duplo;15000;50;12000
Crystal Ribbon clutch;12953;20;10208
Calca de seda;14582;20;11667
Scarpin slingback Rockstud com salto 60mm;6500;40;3900
Bolsa tote B-Army Grocery mini;9889;40;5938
Vestido midi de jersey;4365;30;3024
Sapatilha de camurca;4200;40;2520
Vestido La Mini Robe Scala;6350;20;5081
Jaqueta de couro;7593;30;5315
Bolsa de ombro VLogo Moon mini;15000;40;9300
Saia de tweed;15000;20;11842
Tenis Chromathon perfurado;5450;40;3270
Bolsa de ombro VLogo de couro;15000;40;11820
Vestido longo com franjas;6036;30;4228
Mule acolchoado com salto Gancini;7950;40;4770
Bolsa tote Turnlock Crossbody;6062;25;4324
Camiseta com estampa de olho;4400;20;3482
Ankle boot de couro com fivela Gancini;12701;10;11007
Saia longa com pregas;1920;20;1521
Bolsa tote B-Buzz 23 de canvas;15000;40;12000
Bolsa de ombro VLogo pequena em couro;15000;40;12000
Sueter Cosima;7518;20;6016
Sapatilha Rockstud com laco;5750;40;3450
Calca jeans Izey;2683;20;2148
Bolsa tote Spin;13059;10;11754
Calca jeans com patch de logo;8265;20;6538
Sandalia T-Bar com salto 70mm;7950;40;4770
Jaqueta de couro com ziper;5340;30;3698
Regata de jacquard Toile Iconographe;8900;40;5340
Bolsa tote Fleming;8660;25;6322
Sapatilha com detalhe de fivela;4903;35;3134
Calca jeans wide leg;5701;40;3425
Bolsa de ombro Taru mini;5276;35;3170
Vestido longo Bysha;5385;20;4261
Vestido de festa Charo;7424;20;5941
Sapatilha Rockstud de couro;5750;40;3450
Bolsa tote The Jacquard media;3235;0;3229
Cinto VLogo Signature dupla face 70mm;6350;40;3810
Bolsa de ombro The Dual Chain;3235;0;3229
Vestido Amara longo;8861;30;5764
Sandalia Roman Stud;6500;40;3900
Camisa Love de algodao;2754;30;1887
Ankle boot matelasse com estampa de logo;1635;40;974
Carteira The Calino;3701;10;3331
"Tenis Samba OG ""Cloud White/Core Black/Clear Granite""";1551;35;935
"Tenis Samba LT ""Cloud White/Core Black""";900;30;626
Bolsa tote com logo gravado;3507;10;3103
Vestido com padronagem chevron;15000;30;12000
Bolsa tote The Canvas Medium;2163;0;2134
Tenis cano baixo Portofino;3500;40;2100
Bolsa tote The Canvas Medium;2922;25;2134
Scarpin slingback Rockstud;6500;40;3900
Sandalia Arizona de couro com fivela;2295;10;2061
Vestido de festa Aashvi;15000;15;12000
Vestido longo Lyana;6994;30;4899
Tenis Samba;1140;10;1015
Bolsa tote Le Chiquito de couro;7019;10;6317
Vestido de festa Lorelei;15000;20;12000
Vestido de festa Brooke;14997;10;12000
Vestido de festa Raisa;14406;10;12000
Tenis Dunk Low Retro;4184;45;2098
Tenis Dunk Low WMNS;4158;50;1902
Tenis Campo Chromefree de couro;2174;0;1958
Tenis de couro;5570;60;2209
Tenis Yeezy Boost 350 V2;9227;30;6316
Tenis Super-Star de couro destroyed;6848;0;6164
Slide Goldenstar Hi de camurca;2034;20;1629
Sandalia Arizona com tira dupla;1525;10;1298
Vestido de festa Serene drapeado;15000;20;12000
Vestido Abril;15000;40;9352
Vestido de festa Mikado;2043;30;1417
"Tenis 550 ""UNC""";2251;30;1578
"Tenis Air Jordan 1 Low OG SP ""Travis Scott X Fragment""";15000;40;10535
Vestido de cetim com aplicacao floral;5783;15;4629
Vestido midi Amisha;15000;10;12000
Bolsa tote de camurca;3630;40;2157
Macaquinho com acabamento de renda;2242;30;1555
Vestido longo Gran Soleil;15000;0;12000
Vestido longo ombro a ombro;9098;25;6403
